Age,Education,Location,Marital Status,Citizenship,Name,Account Number,Customer ID
22,Bachelor,Remote,Widowed,Non-Resident,Ava Thompson,4829102734,CUST-1001
43,High School,NY,Widowed,Work Visa,Liam Rodriguez,1938475620,CUST-1002
34,High School,TX,Divorced,Work Visa,Emma Patel,9283746150,CUST-1003
49,PhD,Offshore,Divorced,Work Visa,Noah Kim,3748291056,CUST-1004
53,High School,TX,Divorced,Non-Resident,Olivia Nguyen,8473629105,CUST-1005
65,High School,CA,Married,Work Visa,James Carter,1029384756,CUST-1006
33,High School,Remote,Widowed,Permanent Resident,Sophia Lee,5647382910,CUST-1007
47,Master,TX,Single,Citizen,Benjamin Scott,8374651920,CUST-1008
79,PhD,CA,Married,Work Visa,Isabella Green,2938475610,CUST-1009
74,High School,CA,Single,Work Visa,Elijah Wright,9182736450,CUST-1010
80,High School,TX,Widowed,Permanent Resident,Mia Adams,3847561029,CUST-1011
75,PhD,Offshore,Married,Non-Resident,Lucas Rivera,8473629102,CUST-1012
46,Master,CA,Married,Non-Resident,Charlotte Hall,1029384751,CUST-1013
27,Bachelor,IL,Widowed,Citizen,Henry Baker,5647382912,CUST-1014
31,Bachelor,Offshore,Widowed,Citizen,Amelia Torres,8374651923,CUST-1015
72,High School,TX,Widowed,Work Visa,Alexander Cox,2938475612,CUST-1016
45,High School,TX,Divorced,Work Visa,Harper Morgan,9182736452,CUST-1017
43,PhD,TX,Divorced,Non-Resident,Ethan Bell,3847561021,CUST-1018
30,Bachelor,NY,Widowed,Permanent Resident,Evelyn Murphy,8473629103,CUST-1019
29,Bachelor,NY,Widowed,Non-Resident,Logan Foster,1029384752,CUST-1020
67,PhD,TX,Married,Work Visa,Abigail Price,5647382913,CUST-1021
37,Bachelor,CA,Married,Work Visa,Jackson Reed,8374651924,CUST-1022
63,PhD,FL,Divorced,Work Visa,Ella Hughes,2938475613,CUST-1023
34,Master,FL,Married,Permanent Resident,Aiden Perry,9182736453,CUST-1024
62,High School,IL,Widowed,Work Visa,Scarlett Butler,3847561022,CUST-1025
48,Bachelor,IL,Single,Work Visa,Matthew Bailey,8473629104,CUST-1026
62,High School,TX,Married,Non-Resident,Grace Coleman,1029384753,CUST-1027
77,PhD,Offshore,Married,Permanent Resident,Daniel Bryant,5647382914,CUST-1028
79,PhD,IL,Single,Work Visa,Chloe Sanders,8374651925,CUST-1029
75,Master,Offshore,Single,Non-Resident,Michael Long,2938475614,CUST-1030
19,PhD,TX,Widowed,Non-Resident,Zoey Russell,9182736454,CUST-1031
39,PhD,FL,Widowed,Permanent Resident,Sebastian Wood,3847561023,CUST-1032
37,PhD,IL,Single,Work Visa,Lily West,8473629106,CUST-1033
47,Master,IL,Married,Work Visa,Jack Stone,1029384754,CUST-1034
66,PhD,Remote,Divorced,Permanent Resident,Aria Chapman,5647382915,CUST-1035
41,Master,TX,Divorced,Non-Resident,Owen Grant,8374651926,CUST-1036
56,Master,Offshore,Single,Permanent Resident,Natalie Warren,2938475615,CUST-1037
40,High School,CA,Married,Non-Resident,Carter Hayes,9182736455,CUST-1038
63,Master,Offshore,Widowed,Permanent Resident,Zoey Simmons,3847561024,CUST-1039
55,High School,Offshore,Divorced,Citizen,Wyatt Powell,8473629107,CUST-1040
43,Master,CA,Widowed,Work Visa,Hannah Bryant,1029384755,CUST-1041
63,Bachelor,NY,Divorced,Non-Resident,Luke Jenkins,5647382916,CUST-1042
44,High School,TX,Widowed,Work Visa,Victoria Lane,8374651927,CUST-1043
69,High School,Offshore,Widowed,Permanent Resident,Julian Ford,2938475616,CUST-1044
47,Master,TX,Divorced,Non-Resident,Nora Kennedy,9182736456,CUST-1045
73,High School,IL,Divorced,Non-Resident,Levi Spencer,3847561025,CUST-1046
64,Master,IL,Single,Permanent Resident,Stella Bishop,8473629108,CUST-1047
35,High School,NY,Married,Citizen,Isaac Holland,1029384756,CUST-1048
49,High School,Remote,Single,Non-Resident,Zoe Marsh,5647382917,CUST-1049
36,Bachelor,Remote,Widowed,Non-Resident,Gabriel Doyle,8374651928,CUST-1050
39,High School,FL,Widowed,Citizen,Penelope Walsh,3847561026,CUST-1051
45,High School,CA,Married,Non-Resident,Caleb Harmon,8473629109,CUST-1052
54,Master,IL,Married,Citizen,Aurora Fleming,1029384757,CUST-1053
41,High School,Remote,Widowed,Permanent Resident,Nathaniel Boone,5647382918,CUST-1054
35,Bachelor,NY,Divorced,Citizen,Lucy McBride,8374651929,CUST-1055
53,High School,CA,Divorced,Work Visa,Dylan Vance,2938475617,CUST-1056
63,Master,IL,Widowed,Non-Resident,Ellie McCoy,9182736457,CUST-1057
